CPU_name,CPU_core_count,CPU_core_clock,CPU_boost_clock,CPU_graphics
Intel Core i5-7600K,4,3.8,4.2,Intel HD Graphics 630
Intel Pentium Gold G6500,2,4.1,,Intel UHD Graphics 630
Intel Core i7-8700T,6,2.4,4,Intel UHD Graphics 630
Intel Core i5-9500T,6,2.2,3.7,Intel UHD Graphics 630
AMD A8-6600K,4,3.9,,Radeon HD 8570D
Intel Core i7-10700K Avengers Collector's Edition,8,3.8,5.1,Intel UHD Graphics 630
AMD FX-4350,4,4.2,,
Intel Core i3-3240,2,3.4,,Intel HD Graphics 2500
Intel Core i5-7500T,4,2.7,3.3,Intel HD Graphics 630
AMD Athlon X2 370K,2,4.2,,
AMD Ryzen 3 2200G,4,3.5,3.7,Radeon Vega 8
AMD Ryzen 7 2700,8,3.2,4.1,
Intel Celeron G3930,2,2.9,,Intel HD Graphics 610
Intel Core 2 Duo E7300,2,2.66,,
AMD A10-7800,4,3.5,3.9,Radeon R7 (on-die)
AMD FX-8320E,8,3.2,4,
Intel Core i5-9400,6,2.9,4.1,Intel UHD Graphics 630
Intel Xeon E5-1620 V3,4,3.5,3.6,
Intel Core i9-10850K,10,3.6,5.2,Intel UHD Graphics 630
AMD Ryzen 7 PRO 7745,8,3.8,5.3,Radeon
AMD A6-9500,2,3.5,3.8,Radeon R5 (on die)
Intel Core i5-650,2,3.2,,Intel HD Graphics
Intel Core i3-6100T,2,3.2,,Intel HD Graphics 530
Intel Xeon E5-2698 V4,20,2.2,3.6,
Intel Core i5-2320,4,3,,Intel HD Graphics 2000
Intel Core i5-3470S,4,2.9,,Intel HD Graphics 2500
Intel Core i5-6500T,4,2.5,3.1,Intel HD Graphics 530
AMD Athlon X4 950,4,3.5,3.8,
Intel Pentium G3258,2,3.2,,Intel HD Graphics
Intel Core 2 Quad Q9300,4,2.5,,
Intel Core i5-9600KF,6,3.7,4.6,
Intel Xeon E3-1230 V2,4,3.3,,
Intel Xeon E5-1630 V4,4,3.7,4,
Intel Core i3-4370,2,3.8,,Intel HD Graphics 4600
Intel Xeon E5-2690 V2,10,3,3.6,
AMD A10-6800K,4,4.1,,Radeon HD 8670D
Intel Core i7-5775C,4,3.3,3.7,Iris Pro Graphics 6200
Intel Pentium G4500,2,3.5,,Intel HD Graphics 530
Intel Core i5-8400T,6,1.7,3.3,Intel UHD Graphics 630
AMD Athlon X4 970,4,3.8,4,
Intel Xeon E5-2620 V3,6,2.4,3.2,
AMD Phenom II X4 965 Black,4,3.4,,
Intel Core i7-990X Extreme Edition,6,3.467,,
AMD FX-6350,6,3.9,,
Intel Xeon E5-2650,8,2,2.8,
Intel Core i3-9350KF,4,4,4.6,
AMD FX-8320,8,3.5,,
Intel Core i5-760,4,2.8,,
Intel Core i7-9800X,8,3.8,4.5,
Intel Core 2 Extreme QX9770,4,3.2,,
Intel Core i9-7980XE,18,2.6,4.4,
Intel Core i9-9900X,10,3.5,4.4,
Intel Core i7-960,4,3.2,,
Intel Core i3-8100T,4,3.1,,Intel UHD Graphics 630
Intel Core i5-2310,4,2.9,,Intel HD Graphics 2000
Intel Core i7-2600S,4,2.8,,Intel HD Graphics 2000
Intel Core i5-2300,4,2.8,,Intel HD Graphics 2000
Intel Xeon E5-2667 V2,8,3.3,4,
